work_year,experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,salary
2023,3,2,75,0,70,1,95000
2022,3,2,75,100,70,1,205000
2023,3,2,75,0,70,1,120000
2022,3,2,75,100,70,1,175000
2023,2,2,75,0,70,1,148500
2022,3,2,75,100,70,1,155000
2022,3,2,75,100,70,1,125000
2022,3,2,75,100,70,1,150000
2023,2,2,75,0,70,1,95000
2022,0,2,75,100,70,0,57000
2022,3,2,75,100,70,1,184000
2023,2,2,75,0,70,1,90000
2021,3,2,7,50,8,1,82744
2023,3,2,75,100,70,1,160000
2022,2,2,73,0,68,1,10000
2022,3,2,75,0,70,0,215000
2022,3,2,75,100,70,1,69000
2023,2,2,75,0,70,1,90000
2022,3,2,75,100,70,1,180000
2022,2,2,11,100,12,2,75000
2022,3,2,75,100,70,1,140000
2022,3,2,75,0,70,1,250000
2022,3,2,75,0,70,1,132000
2022,3,2,75,100,70,1,185100
2022,3,2,75,0,70,1,160000
2022,3,2,75,100,70,1,136994
2022,2,2,29,0,28,1,86193
2022,3,2,75,0,70,1,100000
2023,3,2,75,0,70,1,74178
2023,3,2,75,0,70,1,252000
2020,2,2,29,50,28,0,112872
2022,1,2,75,100,70,1,167875
2023,3,2,75,0,70,1,120000
2023,3,2,75,0,70,1,139500
2022,3,2,75,0,70,0,119300
2022,3,2,75,100,70,0,131300
2022,3,2,75,100,70,1,235000
2023,3,2,75,100,70,1,210000
2023,3,2,75,0,70,1,82365
2023,3,2,75,100,70,1,160000
2023,2,2,28,50,27,0,40000
2022,0,2,10,100,10,0,7799
2023,3,2,75,0,70,1,204500
2022,3,2,75,100,70,1,220000
2023,3,2,75,0,70,1,170000
2022,2,2,75,0,70,1,134000
2023,1,2,75,0,70,1,185000
2023,3,2,75,100,70,1,170000
2022,2,2,75,0,70,1,115000
2020,3,2,58,50,55,2,125000
2020,2,2,63,0,60,1,50180
2023,2,2,26,0,25,1,59020
2022,3,2,75,0,70,1,175000
2023,3,2,75,0,70,1,167580
2022,2,2,75,0,70,1,160000
2022,2,2,75,100,70,1,112000
2023,2,2,75,0,70,1,100000
2022,3,2,75,0,70,1,220000
2023,0,2,75,0,70,1,120000
2023,3,2,75,0,70,0,134500
2022,3,2,75,100,70,1,175100
2023,3,2,75,0,70,1,150000
2023,0,2,75,100,70,1,75000
2023,1,2,75,0,70,1,200000
2022,3,2,75,0,70,1,70000
2021,3,2,69,100,65,0,102839
2023,3,2,75,100,70,1,213580
2022,0,2,44,100,52,0,40000
2022,2,2,75,0,70,1,150000
2023,3,2,75,0,70,1,185000
2023,2,2,75,100,70,1,180000
2023,3,2,75,0,70,1,145000
2022,1,2,75,100,70,1,224000
2022,1,2,57,0,54,0,84053
2023,3,2,75,0,70,1,210000
2022,3,2,75,0,70,1,142200
2022,2,2,29,0,28,1,172386
2022,2,2,39,50,38,0,18314
2023,3,2,75,0,70,1,65000
2023,3,2,75,100,70,1,150000
2023,3,2,75,100,70,1,235000
2023,3,2,75,100,70,1,275300
2023,3,2,75,100,70,1,112000
2023,0,2,75,100,70,1,92700
2023,3,2,75,0,70,1,162500
2023,3,2,75,0,70,1,85000
2022,1,2,75,100,70,1,242000
2022,3,2,75,0,70,1,205000
2022,3,2,75,100,70,1,106800
2023,3,2,75,0,70,1,203000
2022,3,2,75,0,70,0,154600
2022,3,2,75,0,70,1,185900
2022,3,2,75,100,70,1,243900
2023,3,2,75,0,70,1,90700
2021,3,2,20,100,20,0,79197
2023,1,2,75,100,70,1,286000
2022,2,2,75,100,70,1,60000
2023,2,2,29,0,28,1,60761
2021,2,2,75,100,70,0,112000
2022,2,2,29,0,28,1,135446
2023,3,2,75,0,70,1,150000
2023,2,2,75,100,70,1,100000
2022,3,2,75,100,70,1,116250
2023,3,2,75,0,70,1,110600
2022,3,2,75,100,70,1,117000
2023,3,2,20,0,20,1,174000
2023,3,2,75,0,70,1,180000
2023,3,2,75,100,70,1,162500
2022,3,2,75,100,70,1,81666
2023,3,2,75,0,70,1,168400
2023,0,2,75,0,70,1,125000
2022,2,2,75,100,70,1,120000
2023,3,2,75,100,70,1,130000
2023,3,2,75,0,70,1,185000
2023,3,2,75,100,70,1,225000
2023,3,2,75,100,70,1,149500
2023,3,2,75,0,70,1,129300
2021,3,2,73,50,68,0,20171
2022,2,2,29,0,28,1,70186
2021,3,2,31,100,21,0,88654
2023,3,2,75,100,70,1,259000
2023,3,2,75,0,70,1,172200
2023,3,2,75,0,70,1,185900
2022,3,2,75,100,70,0,180000
2023,3,2,75,0,70,1,183000
2022,2,2,75,100,70,1,65000
2022,1,2,75,100,70,1,200000
2022,3,2,75,100,70,1,120000
2022,3,2,75,0,70,0,180000
2023,3,2,75,100,70,1,130000
2021,2,1,42,0,70,0,20000
2023,3,2,75,0,70,1,162000
2023,3,2,75,0,70,1,119000
2023,3,2,75,0,70,1,120000
2021,2,2,39,0,38,0,22611
2023,3,2,75,0,70,1,200000
2023,3,2,75,0,70,1,163800
2020,2,2,0,0,0,0,115000
2023,3,2,75,0,70,1,153600
2022,3,2,75,100,70,1,144000
2022,3,2,75,100,70,1,89200
2023,2,2,75,0,70,1,125000
2022,3,2,75,100,70,1,81666
2023,2,2,75,0,70,1,162500
2023,3,2,75,0,70,1,191765
2023,2,2,75,0,70,1,128750
2022,2,2,5,100,6,1,53368
2023,3,2,75,100,70,1,138750
2023,3,2,75,0,70,1,175000
2022,3,2,75,100,70,1,191475
2023,3,2,75,0,70,0,350000
2021,3,2,75,0,70,0,120000
2023,3,2,75,0,70,0,260000
2021,3,2,75,50,70,2,120000
2023,3,2,75,100,70,1,170000
2023,3,2,75,100,70,1,125000
2023,3,2,75,0,70,1,174500
2023,3,2,75,0,70,1,221000
2023,3,2,75,100,70,1,158677
2023,2,2,26,100,25,1,95000
2022,2,2,29,0,28,1,118208
2023,3,2,75,100,70,1,107000
2023,3,2,75,0,70,1,153600
2022,3,2,75,0,70,1,300000
2022,2,2,75,100,70,1,159000
2021,2,2,44,50,42,2,77364
2023,3,2,75,0,70,1,156400
2023,3,2,75,100,70,1,80000
2023,2,2,75,0,70,1,250000
2023,3,2,75,100,70,1,140000
2023,2,2,75,0,70,1,130000
2021,0,2,75,0,70,2,100000
2023,3,2,75,0,70,1,200000
2023,3,2,75,100,70,1,90000
2023,3,2,11,0,12,1,190000
2022,3,2,75,100,70,1,81666
2023,3,2,75,0,70,1,250500
2022,2,2,26,100,25,1,84053
2022,2,2,75,100,70,1,180000
2023,2,2,29,0,28,1,195895
2022,1,2,75,100,70,1,200000
2022,3,2,26,100,70,1,193000
2022,3,2,75,100,70,1,110000
2023,2,2,45,100,43,2,80000
2023,3,2,29,0,28,1,101228
2022,3,2,75,0,70,1,123648
2022,3,2,75,100,70,1,192564
2022,3,2,75,100,70,1,146200
2023,3,2,75,0,70,1,113750
2023,3,2,29,0,28,1,185000
2023,3,2,75,100,70,1,200000
2023,2,2,75,0,70,1,90000
2022,3,2,75,0,70,1,95000
2023,3,2,75,0,70,0,260000
2022,3,2,75,0,70,1,119000
2022,2,2,75,100,70,1,200000
2023,3,2,75,0,70,1,160000
2023,3,2,75,0,70,1,241000
2021,2,2,75,50,70,0,115000
2022,2,2,75,0,70,1,98000
2023,3,2,75,100,70,1,123900
2023,3,2,75,100,70,1,150000
2021,0,2,20,50,20,1,24823
2022,3,2,75,100,70,1,191475
2023,2,2,75,0,70,1,162500
2023,3,2,75,0,70,0,261500
2022,3,2,75,0,70,1,80000
2023,2,2,75,0,70,1,105000
2023,3,2,75,0,70,1,106800
2022,3,2,26,0,25,1,73546
2023,3,2,75,100,70,1,193500
2023,3,2,75,100,70,1,145000
2023,3,2,75,100,70,1,115000
2022,3,2,75,0,70,1,102100
2020,2,2,4,50,5,0,74130
2023,3,2,75,100,70,1,250000
2022,3,2,75,100,70,1,110000
2022,3,2,75,0,70,1,129300
2022,3,2,75,100,70,1,81666
2023,3,2,75,0,70,1,80000
2022,1,2,75,100,70,1,210000
2023,3,2,11,0,12,1,143100
2021,2,2,5,50,6,0,75050
2021,3,2,75,100,70,0,200000
2022,3,2,75,100,70,1,162000
2022,3,2,75,100,70,1,140000
2022,3,2,75,100,70,2,55000
2021,0,2,68,50,64,0,66970
2020,3,2,75,100,70,0,188000
2023,3,2,75,0,70,1,180000
2022,2,2,11,0,12,1,75000
2023,2,2,75,0,70,1,250000
2023,3,2,75,0,70,1,132300
2022,2,2,29,100,28,1,80036
2023,3,2,75,0,70,1,145000
2023,3,2,75,0,70,1,120000
2021,3,2,11,50,12,1,99703
2023,3,2,75,100,70,1,165000
2023,3,2,75,0,70,1,174500
2023,1,2,75,0,70,1,155000
2021,0,2,29,50,28,0,45390
2022,3,2,11,100,12,1,116100
2022,3,2,75,100,70,1,375000
2022,3,2,75,0,70,1,250000
2022,2,2,11,0,12,1,100000
2023,2,2,75,0,70,1,187500
2021,3,2,77,100,28,1,50000
2022,3,2,75,0,70,1,169000
2022,3,2,75,0,70,0,229998
2021,2,2,26,50,61,1,60000
2023,3,2,75,0,70,1,121700
2023,3,2,75,0,70,1,135000
2022,3,2,75,100,70,1,136620
2022,3,2,75,100,70,0,183000
2022,3,2,75,0,70,1,193900
2022,3,2,75,100,70,1,136000
2023,0,2,75,100,70,1,75000
2021,0,3,26,50,25,1,10354
2020,2,2,59,100,70,2,45760
2023,3,2,75,0,70,1,172200
2023,3,2,75,0,70,1,80000
2021,3,2,64,50,28,2,76833
2023,2,2,75,0,70,2,200000
2022,3,2,75,100,70,1,63000
2020,2,2,28,50,27,0,70139
2023,3,2,75,0,70,1,139500
2021,0,2,39,100,38,2,20000
2021,2,2,44,50,42,2,74000
2022,3,2,75,100,70,1,140000
2023,2,2,29,100,28,1,48609
2023,3,2,75,0,70,1,148700
2023,0,2,75,100,70,1,85000
2022,3,2,75,100,70,1,200000
2023,3,2,75,100,70,1,165000
2020,2,2,75,0,70,1,98000
2022,3,2,75,100,70,1,90320
2023,3,2,75,100,70,1,120250
2022,3,2,75,100,70,1,164000
2023,2,2,69,100,65,1,75116
2022,0,2,75,50,70,0,76000
2022,3,2,75,0,70,1,129300
2023,3,2,75,0,70,1,80000
2023,3,2,75,0,70,1,289800
2022,2,2,75,0,70,1,260000
2022,2,2,75,100,70,1,60000
2023,3,2,75,0,70,1,128000
2023,2,2,75,100,70,1,125000
2023,3,2,75,0,70,0,104300
2022,3,2,75,100,70,1,230000
2021,2,2,75,100,70,0,135000
2022,3,2,75,0,70,1,164000
2022,3,2,75,100,70,1,170000
2023,3,2,75,0,70,1,169000
2023,3,2,75,0,70,1,105200
2022,3,2,75,100,70,1,191475
2022,3,2,75,100,70,1,113900
2023,3,2,75,100,70,1,110000
2023,0,2,75,0,70,1,160000
2022,3,2,75,100,70,1,180000
2022,2,2,26,100,25,1,84053
2023,3,2,75,100,70,1,112000
2023,3,2,75,0,70,1,129000
2022,3,2,75,100,70,1,100000
2022,2,2,75,100,70,1,100000
2022,3,2,39,100,38,0,38154
2023,3,2,75,0,70,1,155000
2021,0,2,29,0,28,0,110037
2023,3,2,75,0,70,1,120000
2022,3,2,75,100,70,1,205000
2023,3,2,75,0,70,1,121904
2022,0,2,75,0,70,1,160000
2021,3,2,44,0,42,2,168000
2023,0,2,75,100,70,1,70000
2023,3,2,75,100,70,1,75000
2023,3,2,75,0,70,1,184000
2022,2,2,75,100,70,0,135000
2023,3,2,75,0,70,1,113000
2022,2,2,29,100,28,1,80036
2022,3,2,75,100,70,1,130000
2022,3,2,75,100,70,1,191475
2022,2,2,75,0,70,1,230000
2023,2,2,75,100,70,1,340000
2023,3,2,75,100,70,1,132000
2022,3,2,75,100,70,1,201000
2022,3,2,75,100,70,1,154000
2022,3,2,75,0,70,1,81500
2023,3,2,75,100,70,1,114000
2023,3,2,75,0,70,1,140000
2022,3,2,75,100,70,1,97000
2022,3,2,26,0,25,1,50432
2022,3,2,75,100,70,1,115934
2021,3,2,75,100,70,0,150000
2022,3,2,75,0,70,1,110600
2020,2,2,75,100,70,1,118000
2023,2,2,29,0,28,1,51039
2022,3,2,63,0,60,1,73546
2023,3,2,75,100,70,1,160000
2022,2,2,75,0,70,1,120000
2021,3,2,75,100,70,2,115000
2023,1,2,75,0,70,1,145000
2022,3,2,75,100,70,1,141525
2022,3,2,75,0,70,1,150000
2023,3,2,75,100,70,1,144000
2022,3,2,75,0,70,1,144000
2022,3,2,75,0,70,1,185900
2023,3,2,75,0,70,0,309400
2021,0,2,5,50,6,0,42028
2022,3,2,75,100,70,1,160000
2023,3,2,75,0,70,1,135000
2022,2,2,75,100,70,1,90000
2022,3,2,75,0,70,1,129300
2023,3,2,63,0,60,1,69751
2023,3,2,75,100,70,1,175000
2022,3,2,75,0,70,1,120000
2023,2,2,75,0,70,1,120000
2022,3,2,11,100,12,1,130000
2023,3,2,75,100,70,1,63000
2022,3,2,75,100,70,1,183000
2022,3,2,75,100,70,1,55000
2022,3,2,75,100,70,1,231250
2023,3,2,75,0,70,1,106000
2022,3,2,75,100,70,1,85000
2023,3,2,75,0,70,1,235000
2023,3,2,75,100,70,1,120000
2023,3,2,75,100,70,1,160000
2023,3,2,16,0,17,1,65000
2022,2,2,39,50,38,0,20984
2022,3,2,75,0,70,1,115000
2022,3,2,75,0,70,1,105200
2022,3,2,75,100,70,1,124190
2022,3,2,75,0,70,1,138938
2023,3,2,75,0,70,1,237000
2023,3,2,75,100,70,1,150000
2023,3,2,11,50,12,1,125686
2023,1,2,75,100,70,1,310000
2023,3,2,75,0,70,1,160000
2022,1,2,75,100,70,2,200000
2023,3,2,75,100,70,1,145000
2023,0,2,67,100,63,2,130000
2022,3,2,75,100,70,1,177500
2022,3,2,75,0,70,1,204500
2023,3,2,75,0,70,1,215000
2022,3,2,75,100,70,1,191475
2023,3,2,75,0,70,0,240500
2022,3,2,75,100,70,1,135000
2023,3,2,75,0,70,1,122000
2023,0,2,75,0,70,1,85000
2022,2,2,5,100,6,0,83864
2023,0,2,75,0,70,1,100000
2022,3,2,26,0,25,1,37824
2023,2,2,75,0,70,1,230000
2023,3,2,75,0,70,1,122000
2022,0,2,75,0,70,1,160000
2022,3,2,75,0,70,1,142200
2023,3,2,75,0,70,1,247500
2022,3,2,75,0,70,0,140400
2023,2,2,75,0,70,1,72000
2021,3,2,75,100,70,0,165000
2021,0,2,39,0,14,0,5882
2022,3,2,75,0,70,1,167500
2022,3,2,75,0,70,1,185900
2022,3,2,75,100,70,1,141525
2022,2,2,47,0,44,1,110446
2022,3,2,75,0,70,1,128000
2022,3,2,26,0,25,1,37824
2023,3,2,75,100,70,1,145000
2023,3,2,75,0,70,1,284310
2022,3,2,75,100,70,1,160080
2023,3,2,75,100,70,1,240000
2023,3,2,11,0,12,1,190000
2023,3,2,75,100,70,1,133200
2022,3,2,75,0,70,1,250000
2022,3,2,75,100,70,1,135000
2022,2,2,75,0,70,1,100000
2023,3,2,54,100,51,1,150000
2022,2,2,75,0,70,1,82900
2023,3,2,75,0,70,1,202353
2023,3,2,75,100,70,1,78000
2022,3,2,75,0,70,1,247500
2023,3,2,75,0,70,1,129000
2023,3,2,49,0,46,1,77262
2023,3,2,75,100,70,1,205000
2023,3,2,75,0,70,1,163800
2021,2,2,29,50,28,0,51519
2021,2,2,75,0,70,0,62000
2022,2,2,75,100,70,1,124000
2022,2,2,75,0,70,1,170000
2023,3,2,75,100,70,1,184000
2022,2,2,31,0,30,1,52533
2022,0,2,26,50,25,1,31520
2022,3,2,75,0,70,1,145000
2022,3,2,75,0,70,1,149850
2023,3,2,75,0,70,1,80000
2023,3,2,75,0,70,1,52500
2023,3,2,75,0,70,1,172000
2022,3,2,75,100,70,1,141525
2020,0,2,21,50,21,2,45896
2022,3,2,75,0,70,1,225000
2021,0,2,28,50,27,1,49646
2022,3,2,75,100,70,1,350000
2021,2,2,11,100,12,0,75774
2023,3,2,75,0,70,1,139000
2023,3,2,75,100,70,1,128000
2022,3,2,75,100,70,1,200000
2022,3,2,75,100,70,1,135000
2023,3,2,75,0,70,1,124740
2022,2,2,75,100,70,1,200000
2022,3,2,75,0,70,1,185900
2022,0,2,75,0,70,1,135000
2022,3,2,75,0,70,0,154545
2022,3,2,75,0,70,1,110000
2022,0,2,75,50,70,0,50000
2023,3,2,75,0,70,1,122700
2023,2,2,37,0,36,1,80481
2023,1,2,75,0,70,1,200000
2023,3,2,75,0,70,1,225000
2023,3,2,75,0,70,1,75000
2023,3,2,75,100,70,1,290000
2023,3,2,75,0,70,1,226700
2023,3,2,75,0,70,1,180180
2023,3,2,75,100,70,1,237000
2022,2,2,75,100,70,1,85000
2023,3,2,75,100,70,1,297300
2023,3,2,75,0,70,1,129000
2023,3,2,75,0,70,1,153400
2023,3,2,75,100,70,1,145000
2022,3,2,63,100,60,0,69344
2022,3,2,75,100,70,1,144854
2023,1,2,75,0,70,1,145000
2023,3,2,75,0,70,1,200000
2022,3,2,75,100,70,1,210000
2022,3,2,75,0,70,1,140400
2022,0,2,2,100,3,2,13000
2022,3,2,75,0,70,1,185900
2023,3,2,71,50,67,1,29453
2022,3,2,75,0,70,0,160000
2022,3,2,75,100,70,1,136000
2022,3,2,75,0,70,1,130000
2023,1,2,75,0,70,1,195800
2021,0,2,74,100,69,0,13400
2022,2,2,75,100,70,1,153000
2021,3,2,75,100,70,0,235000
2021,2,2,75,0,70,2,110000
2022,3,2,75,0,70,1,169000
2023,3,2,75,0,70,0,136000
2023,3,2,75,0,70,1,145000
2023,3,2,75,0,70,1,200160
2023,1,2,75,0,70,1,265000
2022,2,2,10,100,10,1,78000
2023,3,2,75,100,70,1,376080
2021,2,2,7,100,8,1,88654
2021,2,2,29,50,28,0,56256
2022,2,2,75,0,70,1,109000
2021,3,2,75,50,70,0,185000
2022,3,2,75,0,70,1,146000
2023,3,2,75,100,70,1,108000
2022,3,2,75,100,70,1,220110
2023,3,2,75,100,70,0,90000
2023,3,2,75,0,70,0,105700
2022,3,2,75,100,70,1,150000
2023,3,2,26,0,25,1,253750
2022,3,2,75,100,70,0,202900
2023,3,2,75,100,70,1,297300
2022,3,2,75,100,70,1,179305
2022,2,2,26,100,25,1,31520
2023,3,2,75,0,70,1,135000
2023,2,2,39,50,38,0,60795
2022,3,2,75,100,70,1,50000
2022,0,2,75,100,70,1,77300
2022,3,2,75,100,70,1,144854
2023,3,1,56,50,6,1,50000
2023,3,2,75,0,70,1,226700
2023,2,2,75,0,70,1,90000
2022,3,2,75,100,70,1,104890
2023,3,2,75,100,70,1,184000
2022,0,3,15,50,70,2,125404
2023,3,2,75,100,70,1,245000
2023,3,2,75,0,70,1,146000
2023,3,2,75,0,70,1,247500
2021,3,2,75,100,70,0,170000
2023,3,2,75,0,70,1,85500
2023,3,2,75,0,70,1,94192
2022,3,2,75,100,70,1,180000
2022,3,2,75,0,70,1,110600
2022,3,2,75,100,70,0,178800
2022,3,2,75,0,70,1,120000
2022,3,2,75,0,70,1,129300
2022,2,2,75,100,70,1,115360
2022,0,2,75,0,70,1,124234
2022,3,2,75,0,70,1,102100
2023,2,2,75,0,70,1,165000
2022,3,2,11,50,1,2,10000
2022,3,2,75,100,70,1,140000
2022,3,2,29,100,28,2,200000
