title,company,experience,location,salary,description,skills,url,search_role
Data Scientist,Natwest Digitalx,3-6 Yrs,Bengaluru,Not disclosed,Youll have experience with statistical modelling and machine learning techniques. . Wel...,"data scientist, valuation, data analysis, data science, prototyping, scrum, software engineering, agile",https://www.naukri.com/job-listings-data-scientist-natwest-digital-services-india-pvt-ltd-bengaluru-3-to-6-years-200226924413,data-scientist
Data Scientist,HCLTech,5-10 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",17-25 Lacs PA,"Experience with AI evaluation, testing, and monitoring. Nice to Have Required Skills & ...","Data Science, Artificial Intelligence, Machine Learning, Intelligence, Data, Science, Machine",https://www.naukri.com/job-listings-data-scientist-hcltech-hyderabad-chennai-bengaluru-5-to-10-years-120226029579,data-scientist
Data Scientist,Capgemini,4-7 Yrs,Bengaluru,Not disclosed,"Required . Experience with LLM / VLM frameworks (e.g., Transformers, CLIP, BLIP). Has m...","data scientist, python, transformers, software development, software design, llm, research, computer vision",https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-bengaluru-4-to-7-years-170226919502,data-scientist
Data Scientist,Wipro,6-11 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",Not disclosed,What youll doThe ideal candidate will be responsible for analyzing large datasets to e...,"Market Mix Modelling, propensity modeling, SQL, GCP, Marketing Mix, Python, Marketing, Data",https://www.naukri.com/job-listings-data-scientist-wipro-hyderabad-chennai-bengaluru-6-to-11-years-180226038981,data-scientist
Data Scientist,Tata Consultancy Services,4-9 Yrs,"Chennai, Bengaluru",Not disclosed,Experience Required: 49 Years . Job Type: Full Time Required Skills  Strong experience ...,"Data Science, Artificial Intelligence, Machine Learning, Data, Science, Machine, Intelligence",https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-chennai-bengaluru-4-to-9-years-150226003445,data-scientist
Data Scientist,Razorthink,3-5 Yrs,"Mumbai, Delhi / NCR, Bengaluru",Not disclosed,"Required Skills and Qualifications: Bachelors / Masters / PhD in Computer Science, Stat...","Data Science, Python, R, Data Scientist, data mining, Pandas, Scikit-learn, statistical analysis",https://www.naukri.com/job-listings-data-scientist-razorthink-mumbai-delhi-ncr-bengaluru-3-to-5-years-200226921579,data-scientist
Data Scientist - Hyderabad/Bangalore,Tata Consultancy Services,6-8 Yrs,"Hyderabad, Bengaluru",Not disclosed,Hands on experience in designing and implementing prompts for conversational AI or virt...,"Data Science, Ml, Artificial Intelligence, Machine Learning, Machine, Data, Science, Intelligence",https://www.naukri.com/job-listings-data-scientist-hyderabad-bangalore-tata-consultancy-services-hyderabad-bengaluru-6-to-8-years-160226014871,data-scientist
Data Scientist-Artificial Intelligence,IBM,5-10 Yrs,Bengaluru,Not disclosed,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com...","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-10-years-180226932070,data-scientist
Data Scientist-Artificial Intelligence,IBM,5-8 Yrs,Bengaluru,Not disclosed,Required education . Bachelors Degree Required technical and professional expertise Pre...,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-8-years-190226930549,data-scientist
Data Scientist/Machine Learning,Infosys,5-10 Yrs,Bengaluru,Not disclosed,"Bachelor of Engineering, BSc, BBA, MCA, MSc The incumbent should have strong aptitude f...","data scientist, data analytics, supply chain, mathematics, logistics, machine learning, retail, sql",https://www.naukri.com/job-listings-data-scientist-machine-learning-infosys-limited-bengaluru-5-to-10-years-160226920694,data-scientist
Data Scientist,Mahindra & Mahindra Limited.,2-5 Yrs,Bengaluru,Not disclosed,"Education: Bachelors or Masters degree in Computer Science, Data Science, Mathematics, ...","Computer science, Computer vision, Data analysis, GCP, Machine learning, Deployment, Natural language processing, Forecasting",https://www.naukri.com/job-listings-data-scientist-mahindra-mahindra-limited-bengaluru-2-to-5-years-160226501452,data-scientist
